Title,Area,Sizes,Direction,Floors,Bedrooms,Price,Location,Timestamp of the post,Thumbnail,Post Link
"Cho thuê văn phòng 701F đường Nguyễn Văn Cừ, Q. Ninh Kiều, TP. Cần Thơ. DTSD: 1540 m2",Diện tích: 1.540 m2,KT: ---,Hướng: No Information,No Information,No Information,Giá: 240 ngàn / m2  / tháng,"Đường Nguyễn Văn Cừ, Quận Ninh Kiều, Cần Thơ",12/08/2023,https://alonhadat.com.vn/files/properties/2023/7/4/thumbnails/20230704_114209_13094467_0.jpg,https://alonhadat.com.vn/cho-thue-van-phong-701f-duong-nguyen-van-cu-q-ninh-kieu-tp-can-tho-dtsd-1540-m2-13094467.html
"CHO THUÊ TOÀ NHÀ-  CĂN GÓC 1200m2 mặt tiền đường 42m, trong KĐT Mỹ Phước 3-Bình Dương",Diện tích: 1.200 m2,KT: 40x30m,Hướng: Đông Nam,3 lầu,3 phòng ngủ,Giá: 55 triệu / tháng,"Đại Lộ Bình Dương, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/10/thumbnails/20230810_015954_14397_3.jpg,https://alonhadat.com.vn/khach-het-hop-dong-toi-can-cho-thue-nha-kdt-my-phuoc-3-binh-duong-13256240.html
"CHO THUÊ NHÀ NGÕ 105 PHỐ BẠCH MAI, QUẬN HAI BÀ TRƯNG",Diện tích: 32 m2,KT: ---,Hướng: No Information,4 lầu,3 phòng ngủ,Giá: 15 triệu / tháng,"Phố Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/10/thumbnails/013256794-5211-cho-thue-nha-trong-hem-quan-hai-ba-trung-gia-re.jpg,https://alonhadat.com.vn/cho-thue-nha-ngo-105-pho-bach-mai-quan-hai-ba-trung-13256794.html
"CHO THUÊ NHÀ 4 TẦNG PHỐ VÕ CHÍ CÔNG  QUẬN TÂY HỒ, 8 TRIỆU/ THÁNG",Diện tích: 25 m2,KT: ---,Hướng: No Information,4 lầu,2 phòng ngủ,Giá: 8 triệu / tháng,"Đường Võ Chí Công, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/12/thumbnails/013263657-3127-cho-thue-nha-4-tang-pho-vo-chi-cong-quan-tay-ho-8-trieu-thang.jpg,https://alonhadat.com.vn/cho-thue-nha-4-tang-pho-vo-chi-cong-quan-tay-ho-8-trieu-thang-13263657.html
"CHO THUÊ 100 M ĐẾN 2000 HỆ THỐNG KHO XƯỞNG HIỆN ĐẠI Ở THƯỜNG TÍN , HÀ NỘI",Diện tích: 300 m2,KT: ---,Hướng: No Information,1 lầu,1 phòng ngủ,Giá: 15 triệu / tháng,"Xã Ninh Sở, Huyện Thường Tín, Hà Nội",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/9/thumbnails/013249644-5249-cho-thue-kho-xuong-huyen-thuong-tin-chinh-chu.jpg,https://alonhadat.com.vn/cho-thue-100-m-den-2000-he-thong-kho-xuong-hien-dai-o-thuong-tin-ha-noi-13249644.html
"Cho thuê kho xưởng Phước tân cách quốc lộ 51 - 1,5km",Diện tích: 400 m2,KT: 12x33m,Hướng: No Information,No Information,No Information,Giá: 10 triệu / tháng,"Đường Đinh Quang Ân, Phường Phước Tân, Thành phố Biên Hoà, Đồng Nai",11/08/2023,https://alonhadat.com.vn/files/properties/2023/8/11/thumbnails/013261942-3417-cho-thue-kho-xuong-dong-nai-chinh-chu.jpg,https://alonhadat.com.vn/cho-thue-kho-xuong-phuoc-tan-cach-quoc-lo-51-1-5km-13261942.html
GIẢM GIÁ 30% - THUÊ VĂN PHÒNG 35M2 - 50M2 - 100M2 GIÁ TỪ 5.5 TRIỆU/TH TẠI CẦU GIẤY,Diện tích: 50 m2,KT: 25x10m,Hướng: No Information,30 lầu,No Information,"Giá: 8,5 triệu / tháng","Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",11/08/2023,https://alonhadat.com.vn/files/properties/2023/6/5/thumbnails/05568320-2557-cho-thue-van-phong-quan-cau-giay-chinh-chu.jpg,https://alonhadat.com.vn/van-phong-hang-b-b-cao-cap-18m2-45m2-gia-cuc-tot-5-5-tr-th-tang-bao-hiem-pvi-125-trieu-5568320.html
"CHO THUÊ VĂN PHÒNG TRỌN GÓI ĐỦ NỘI THẤT TÒA NHÀ VIỆT Á,DUY TÂN CẦU GIẤY, DT 10-20-50-100M2",Diện tích: 20 m2,KT: ---,Hướng: No Information,No Information,No Information,Giá: 10 triệu / tháng,"Phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",10/08/2023,https://alonhadat.com.vn/files/properties/2022/7/25/thumbnails/011225713-0718-cho-thue-van-phong-quan-cau-giay.jpg,https://alonhadat.com.vn/cho-thue-van-phong-tron-goi-du-noi-that-toa-nha-viet-a-duy-tan-cau-giay-dt-10-20-50-100m2-11225713.html
Chính chủ cho thuê phòng trọ 60F3 KĐT Đại Kim: Cuối ngõ 76 Đại Từ,Diện tích: 25 m2,KT: ---,Hướng: No Information,5 lầu,6 phòng ngủ,"Giá: 3,2 triệu / tháng","Phố Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",10/08/2023,https://alonhadat.com.vn/files/properties/2023/8/10/thumbnails/013254957-3422-chinh-chu-cho-thue-phong-tro-60f3-kdt-dai-kim-cuoi-ngo-76-dai-tu.jpg,https://alonhadat.com.vn/chinh-chu-cho-thue-phong-tro-60f3-kdt-dai-kim-cuoi-ngo-76-dai-tu-13254957.html
"82m2 văn phòng cho thuê tại số 18/11 Thái Hà.  giá rẻ, DV chuyên nghiệp",Diện tích: 82 m2,KT: 13x30m,Hướng: Đông Nam,9 lầu,No Information,Giá: 19 triệu / tháng,"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",07/08/2023,https://alonhadat.com.vn/files/properties/2023/7/11/thumbnails/012939891-4659-cho-thue-van-phong-ha-noi-gia-re.jpg,https://alonhadat.com.vn/moi-thue-80m2-vp-tang-5-tai-nha-vp-9-tang-so-18-thai-ha-chinh-chu-gia-re-dv-tot-12939891.html
Kho Xưởng Tân Thuận - Giải Pháp Kinh Doanh Hiệu Quả Tại TP.HCM,Diện tích: 50.000 m2,KT: ---,Hướng: No Information,3 lầu,No Information,Giá: 1 ngàn / m2  / tháng,"Đường Tân Thuận, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",01/08/2023,https://alonhadat.com.vn/files/properties/2023/8/1/thumbnails/012322846-5044-kho-xuong-tan-thuan-giai-phap-kinh-doanh-hieu-qua-tai-tp-hcm.jpg,https://alonhadat.com.vn/kcx-tan-thuan-cho-thue-nha-xuong-tieu-chuan-f-g-h-tai-quan-7-tp-hcm-12322846.html
"CHO THUÊ VĂN PHÒNG TẠI 25 HÀN THUYÊN, HÀ NỘI",Diện tích: 1.540 m2,KT: ---,Hướng: No Information,No Information,No Information,"Giá: 341,415 triệu / tháng","Phố Hàn Thuyên, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",12/08/2023,https://alonhadat.com.vn/files/properties/2023/4/17/thumbnails/20230417_115110_12748663_0.jpg,https://alonhadat.com.vn/cho-thue-van-phong-tai-25-han-thuyen-ha-noi-12748663.html
"CHO THUÊ KHÁCH SẠN 3 SAO, 11 TẦNG 50 PHÒNG, MT ĐƯỜNG HÀ BỔNG",Diện tích: 100 m2,KT: 10x20m,Hướng: No Information,11 lầu,50 phòng ngủ,Giá: 135 triệu / tháng,"Đường Hà Bổng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/12/thumbnails/013266029-3718-cho-thue-khach-san-3-sao-11-tang-50-phong-mt-duong-ha-bong.jpg,https://alonhadat.com.vn/cho-thue-khach-san-3-sao-11-tang-50-phong-mt-duong-ha-bong-13266029.html
"Cho thuê nhà Hai Bà Trưng vị trí đẹp, hiện trạng đẹp dt 170m, mt7m. Giá 50tr/tháng",Diện tích: 170 m2,KT: 7x24m,Hướng: No Information,3 lầu,3 phòng ngủ,Giá: 50 triệu / tháng,"Đường Cát Dài, Phường Cát Dài, Quận Lê Chân, Hải Phòng",12/08/2023,https://alonhadat.com.vn/files/properties/default.jpg,https://alonhadat.com.vn/cho-thue-nha-hai-ba-trung-vi-tri-dep-hien-trang-dep-dt-170m-mt7m-gia-50tr-thang-13265954.html
CHO THUÊ NHÀ Đ. NGUYỄN TRI PHƯƠNG - DĨ AN. 6Triu,Diện tích: 93 m2,KT: 5x19m,Hướng: No Information,2 lầu,2 phòng ngủ,Giá: 6 triệu / tháng,"Đường Nguyễn Tri Phương, Phường Dĩ An, Thành phố Dĩ An, Bình Dương",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/3/thumbnails/013227165-1841-cho-thue-nha-trong-hem-thanh-pho-di-an-chinh-chu.jpg,https://alonhadat.com.vn/cho-thue-nha-d-nguyen-tri-phuong-di-an-13227165.html
MẶT TIỀN KINH DOANH SẦM UẤT HOÀNG HOA THÁM VŨNG TÀU - KT 6x20m GIÁ THUÊ 40 TRIỆU,Diện tích: 120 m2,KT: 6x20m,Hướng: No Information,2 lầu,3 phòng ngủ,Giá: 40 triệu / tháng,"Đường Hoàng Hoa Thám, Phường 2, Thành phố Vũng Tàu, Bà Rịa Vũng Tàu",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/12/thumbnails/013264353-3922-cho-thue-nha-mat-tien-thanh-pho-vung-tau.jpg,https://alonhadat.com.vn/mat-tien-kinh-doanh-sam-uat-hoang-hoa-tham-vung-tau-kt-6x20m-gia-thue-40-trieu-13264353.html
Nhà cho thuê nguyên căn Kiều Đàm -Quận 7-4 tầng -5m×19m-giá 24 Triệu/tháng.,Diện tích: 92 m2,KT: ---,Hướng: No Information,4 lầu,4 phòng ngủ,Giá: 24 triệu / tháng,"Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/8/thumbnails/013248324-2252-cho-thue-nha-trong-hem-ho-chi-minh-gia-re.jpg,https://alonhadat.com.vn/nha-cho-thue-nguyen-can-kieu-dam-quan-7-4-tang-5m-19m-gia-24-trieu-thang--13248324.html
Cho Thuê Nhà Mặt Tiền Đường Hoàng Sa -Quận 1-4 Tầng-Giá 50Triệu. -,Diện tích: 77 m2,"KT: 5,5x14m",Hướng: No Information,4 lầu,4 phòng ngủ,Giá: 50 triệu / tháng,"Đường Hoàng Sa, Phường Tân Định, Quận 1, Hồ Chí Minh",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/8/thumbnails/013248285-0233-cho-thue-nha-mat-tien-duong-hoang-sa-quan-1-4-tang-gia-50trieu-.jpg,https://alonhadat.com.vn/cho-thue-nha-mat-tien-duong-hoang-sa-quan-1-4-tang-gia-50trieu--13248285.html
"Cho thuê 1.100m2 Kho, xưởng tại Lai Xá , Hoài Đức , Hà Nội",Diện tích: 1.100 m2,KT: ---,Hướng: No Information,No Information,No Information,Giá: 90 ngàn / m2  / tháng,"Đường Quốc lộ 32, Xã Kim Chung, Huyện Hoài Đức, Hà Nội",12/08/2023,https://alonhadat.com.vn/files/properties/2023/8/11/thumbnails/012050434-4620-cho-thue-kho-xuong-huyen-hoai-duc-chinh-chu.jpg,https://alonhadat.com.vn/cho-thue-420m2-kho-xuong-tai-linh-nam-hoang-mai-ha-noi--12050434.html
"cho thuê VP tại Cityland, Gò Vấp DT 30m2 - 100m2 máy lạnh hầm để xe, giá từ 5tr",Diện tích: 25 m2,KT: ---,Hướng: No Information,No Information,No Information,Giá: 5 triệu / tháng,"Đường Phan Văn Trị, Phường 10, Quận Gò Vấp, Hồ Chí Minh",12/08/2023,https://alonhadat.com.vn/files/properties/2022/8/27/thumbnails/09185317-1652-cho-thue-vp-tai-cityland-go-vap-dt-30m2-100m2-may-lanh-ham-de-xe-gia-tu-6tr.jpg,https://alonhadat.com.vn/chinh-chu-cho-thue-vp-tai-cityland-go-vap-dt-20m2-100m2-may-lanh-ham-de-xe-gia-tu-4tr-9185317.html
